"February 22, 2026 - February 28, 2026",,,Google Ads Performance,,,,,,,,,,,,Business Performance,,,,,,,,,,,,Phone Calls,,,Post Phone Call Walk-Ins,,,Web Reservations,,,,Phone Calls,,,Post Phone Call Walk-Ins,,,Web Reservations,,
Brand,Region,Category,Impr.,Clicks,Cost,Calls,Resv.,Main Conv.,CPA,tCPA,Imp. Share,IS Lost to Budget,IS Lost to Rank,Conv. Rate,Conv. Rate,Revenue/Car,GP/Car,GP %,Cost/Car,Car Count,,,,Curent IS,Row,,Car Count,Revenue,GP,Car Count,Revenue,GP,Car Count,Revenue,GP,,Conv. Rate,Revenue/Car,GP/Car,Conv. Rate,Revenue/Car,GP/Car,Conv. Rate,Revenue/Car,GP/Car
BP,COLORADO,NB OIL CHANGE,19207,1119,4983.85,154,115,269,18.52732342007435,15,0.3749975594994045,0.0266,0.5984,0.24039320822162646,0.28958333333333336,160.23741007194243,122.5251798561151,0.7986095755645086,63.89551282051283,78,,,,37,47,,,,,105,15894,12370,173,28652,21692,,,,,0.6818181818181818,151.37142857142857,117.80952380952381,1.5043478260869565,165.6184971098266,125.38728323699422
BP,COLORADO,NB OTHER SERVICES,7789,267,579.04,88,11,99,5.848888888888888,5,0.15259981975627915,0.0082,0.8391,0.3707865168539326,0.0934283452098179,469.2457627118644,371.60593220338984,0.7986095755645086,64.33777777777777,9,,,,15,25,,,,,184,83993,67195,52,26749,20504,,,,,2.090909090909091,456.48369565217394,365.1902173913044,4.7272727272727275,514.4038461538462,394.3076923076923
BP,COLORADO,NB WHEEL ALIGNMENT,7032,606,2153.59,137,57,194,11.100979381443299,9,0.4736948467497474,0.0168,0.5095,0.3201320132013201,0.1967741935483871,168.21857923497268,148.87431693989072,0.7986095755645086,56.67342105263158,38,,,,47,57,,,,,87,13833,12221,96,16951,15023,,,,,0.635036496350365,159,140.4712643678161,1.6842105263157894,176.57291666666666,156.48958333333334
BP,COLORADO,TOTAL,66788,3659,15457.880000000001,661,296,956,16.169330543933054,-,0.3423691279296274,-,-,0.26127357201421153,0.24294653639257877,464.86308178942613,375.4030727519205,0.8058869857491906,76.14719211822661,203,,,,34,44,,,,,1040,451288,361911,1173,577454,468856,,,,,1.573373676248109,433.9307692307692,347.99134615384617,3.9628378378378377,492.2881500426258,399.7067348678602
BP,MIDWEST,CP,3177,97,202.81,32,2,34,5.965,4,0.3483552631578947,0.002419605263157895,0.6492308114035088,0.35051546391752575,0.09448818897637795,350.6388888888889,294.8611111111111,0.7986095755645086,67.60333333333334,3,,,,35,45,,,,,22,9687,8275,14,2936,2340,,,,,0.6875,440.3181818181818,376.1363636363636,7,209.71428571428572,167.14285714285714
BP,MIDWEST,NB BRAKES,8350,611,2577.14,130,39,169,15.249349112426035,14.85,0.35279702551968906,0,0.6472,0.2765957446808511,0.24086687306501547,576.6760925449871,456.55012853470436,0.7986095755645086,62.8570731707317,41,,,,35,45,,,,,190,102302,81413,199,122025,96185,,,,,1.4615384615384615,538.4315789473684,428.4894736842105,5.102564102564102,613.1909547738693,483.34170854271355
BP,MIDWEST,NB OIL CHANGE,20859,1622,7009.64,211,211,422,16.61052132701422,15,0.5039988402155267,0.0011,0.4949,0.2601726263871763,0.34395501405810686,143.77111716621255,106.87465940054496,0.7986095755645086,48.34234482758621,145,,,,50,60,,,,,128,17751,12958,239,35013,26265,,,,,0.6066350710900474,138.6796875,101.234375,1.132701421800948,146.4979079497908,109.89539748953975
BP,MIDWEST,NB OTHER SERVICES,16455,614,1581.46,201,25,226,6.997610619469027,6.5,0.29579895378309873,0,0.7042,0.36807817589576547,0.1219951923076923,422.7389162561576,339.10837438423647,0.7986095755645086,56.480714285714285,28,,,,30,40,,,,,145,58014,46572,58,27802,22267,,,,,0.7213930348258707,400.09655172413795,321.1862068965517,2.32,479.3448275862069,383.91379310344826
BP,MIDWEST,NB WHEEL ALIGNMENT,4058,363,1194.51,62,37,99,12.065757575757576,9,0.5306656205047731,0,0.4693,0.2727272727272727,0.2199367088607595,181.9496402877698,164.23021582733813,0.7986095755645086,54.29590909090909,22,,,,53,63,,,,,64,10756,9766,75,14535,13062,,,,,1.032258064516129,168.0625,152.59375,2.027027027027027,193.8,174.16
BP,MIDWEST,TOTAL,52899,3307,12565.56,636,314,950,13.226905263157894,-,0.38485714909313135,-,-,0.28726942848503173,0.21160664303041612,353.45767195767195,281.3959435626102,0.7961234566053176,52.575564853556486,239,,,,38,48,,,,,549,198510,158984,585,202311,160119,,,,,0.8632075471698113,361.58469945355193,289.58834244080145,1.8630573248407643,345.83076923076925,273.7076923076923
BP,TEXAS,CP,13929,469,921.0199999999999,145,23,168,5.482261904761904,4,0.3239679032445633,0.002852796836841493,0.6731837306663564,0.3582089552238806,0.12311358220810167,481.0064516129032,390.1741935483871,0.7986095755645086,43.85809523809523,21,,,,32,42,,,,,97,45114,36646,58,29442,23831,,,,,0.6689655172413793,465.0927835051546,377.7938144329897,2.5217391304347827,507.62068965517244,410.87931034482756
BP,TEXAS,NB BRAKES,25148,2035,6285.88,445,146,591,10.63600676818951,11,0.32020168580814384,0.0003,0.6795,0.29041769041769044,0.16485940084543282,492.9130434782609,396.711259754738,0.7986095755645086,64.80288659793814,97,,,,32,42,,,,,483,238871,190189,414,203272,165661,,,,,1.0853932584269663,494.55693581780537,393.76604554865423,2.835616438356164,490.9951690821256,400.1473429951691
BP,TEXAS,NB OIL CHANGE,39637,1889,5152.78,294,149,443,11.631557562076749,10,0.30189958260975536,0.0706,0.6276,0.23451561672842774,0.18329177057356608,124.97619047619048,93.13265306122449,0.7986095755645086,63.614567901234565,81,,,,30,40,,,,,151,19723,14681,143,17020,12700,,,,,0.5136054421768708,130.6158940397351,97.2251655629139,0.959731543624161,119.02097902097903,88.81118881118881
BP,TEXAS,NB OTHER SERVICES,54648,2520,4172.66,547,82,629,6.633799682034976,5.5,0.2633004095398699,0.1511,0.5856,0.2496031746031746,0.12382567849686847,216.67755532139094,172.5563751317176,0.7986095755645086,53.49564102564102,78,,,,26,36,,,,,691,126337,100068,258,79290,63688,,,,,1.263254113345521,182.83212735166424,144.81620839363242,3.1463414634146343,307.3255813953488,246.85271317829458
BP,TEXAS,NB WHEEL ALIGNMENT,16552,1283,3552.05,279,78,356,9.977668539325844,9,0.41919716347980246,0.0107,0.5701,0.2774746687451286,0.13394276629570748,219.08902077151336,194.79228486646883,0.7986095755645086,74.00104166666667,48,,,,42,52,,,,,157,30048,27466,180,43785,38179,,,,,0.5627240143369175,191.38853503184714,174.94267515923568,2.3076923076923075,243.25,212.10555555555555
BP,TEXAS,TOTAL,149914,8196,20084.39,1710,478,2187,9.183534522176497,-,0.2999119753530989,-,-,0.26683748169838944,0.14239342133737287,316.45212765957444,255.74050151975683,0.808149097973111,61.798123076923076,325,,,,30,40,,,,,1579,460093,369050,1053,372809,304059,,,,,0.9233918128654971,291.38252058264726,233.7238758708043,2.202928870292887,354.0446343779677,288.75498575498574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP,ALL,TOTAL,323960,19207,61925.18,3656,1393,5047,12.26970081236378,-,0.3267214496928036,-,-,0.26276878221481753,0.10412083158233011,272.81695156695156,220.7718423551757,0.808149097973111,65.6682714740191,943,,,,0.35,#REF!,,,,,2578,636201,511265,1634,512904,418626,,,,,0.7051422319474836,246.78083785880528,198.31846392552367,1.1730078966259871,313.89473684210526,256.1970624235006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAVIS,GEORGIA,CP,42108,1904,3889.0099999999998,533,52,585,6.647880341880342,4,0.4347664477759881,0.08258123735183578,0.48265337938297614,0.3072478991596639,0.12311358220810167,481.0064516129032,390.1741935483871,0.8111620795107034,54.01402777777778,72,,,,43,53,,,,,97,45114,36646,58,29442,23831,,,,,0.18198874296435272,465.0927835051546,377.7938144329897,1.1153846153846154,507.62068965517244,410.87931034482756
MAVIS,GEORGIA,NB AUTO SERVICE,9933,371,754.51,37,21,57,13.237017543859649,30,0.1173004251299008,0.0852,0.7975,0.15363881401617252,0.16495034939315925,492.9130434782609,396.711259754738,0.8048301115250044,83.83444444444444,9,,,,12,22,,,,,483,238871,190189,414,203272,165661,,,,,13.054054054054054,494.55693581780537,393.76604554865423,19.714285714285715,490.9951690821256,400.1473429951691
MAVIS,GEORGIA,NB BRAKES,22242,1876,6695.11,418,152,570,11.745807017543859,8.5,0.26589996174445296,0.2599,0.4742,0.30383795309168443,0.18340611353711792,124.97619047619048,93.13265306122449,0.7452031679503578,63.76295238095238,105,,,,27,37,,,,,151,19723,14681,143,17020,12700,,,,,0.361244019138756,130.6158940397351,97.2251655629139,0.9407894736842105,119.02097902097903,88.81118881118881
MAVIS,GEORGIA,NB TIRE SERVICE,22336,2243,4489.07,596,213,809,5.548912237330037,4,0.3564008871726955,0.1713,0.4722,0.3606776638430673,0.12384183740049588,216.67755532139094,172.5563751317176,0.7963740170308374,44.890699999999995,100,,,,36,46,,,,,691,126337,100068,258,79290,63688,,,,,1.1593959731543624,182.83212735166424,144.81620839363242,1.2112676056338028,307.3255813953488,246.85271317829458
MAVIS,GEORGIA,NB TIRES,249649,17689,45406.24,3766,672,4438,10.231239296980622,5.25,0.4603377729261668,0,0.5396617703298993,0.2508903838543728,0.13399602385685885,219.08902077151336,194.79228486646883,0.8891010794631127,76.31300840336134,595,,,,46,56,,,,,157,30048,27466,180,43785,38179,,,,,0.041688794476898564,191.38853503184714,174.94267515923568,0.26785714285714285,243.25,212.10555555555555
MAVIS,GEORGIA,TOTAL,346268,24083,61233.939999999995,5350,1110,6459,9.480405635547298,-,0.3979323532926975,-,-,0.2681974837021966,0.14243965797164196,316.45212765957444,255.74050151975683,0.808149097973111,69.50503972758229,881,,,,40,50,,,,,1579,460093,369050,1053,372809,304059,,,,,0.29514018691588784,291.38252058264726,233.7238758708043,0.9486486486486486,354.0446343779677,288.75498575498574
