"February 22, 2026 - February 28, 2026",,,,Budget:,48000,Recommendation,,,,,,,,,Goal: Car Count,,,,,,,
Brand,Region,Category,Opportunity Score ,Expected Spend,LW Spend,Difference,Expected IS %,LW IS %,Difference,Expected CPA,LW CPA,Difference,LW tCPA,tCPA Adjustment,Expected Car Count,LW Car Count,Difference,,,,,
BP,ARIZONA,CP,22.05422541866899,620.5240377275718,125.92000000000002,494.6040377275718,58,16.89027947181418,41.10972052818582,4.700939679754332,2.679148936170213,2.021790743584119,2.65,2.050939679754332,25,5,20,,,,,
BP,ARIZONA,NB BRAKES,32.51907381666402,4262.850900271257,6429.3,-2166.449099728743,28,37.18969917253113,-9.189699172531128,17.336738629533155,19.966770186335403,-2.6300315568022476,16,1.336738629533155,40,58,-18,,,,,
BP,ARIZONA,NB BRAKES T2,16.85607881336331,1540.0194274731487,1161.33,378.6894274731487,49,34.71970072069098,14.28029927930902,21.690414471452797,19.038196721311476,2.6522177501413218,15.37,6.320414471452798,15,11,4,,,,,
BP,ARIZONA,NB OIL CHANGE,13.154222592343446,1724.3569093104077,4558.3,-2833.9430906895923,21,36.28994250164954,-15.289942501649541,10.193925210802885,13.647604790419162,-3.453679579616278,11,-0.8060747891971154,31,75,-44,,,,,
BP,ARIZONA,NB OTHER SERVICES,53.300864593091156,2985.0366553736126,369.47,2615.566655373613,57,13.429965981363704,43.57003401863629,9.851606123345256,4.7983116883116885,5.053294435033568,3.75,6.101606123345256,57,7,50,,,,,
BP,ARIZONA,NB WHEEL ALIGNMENT,10.027808233899293,1264.3423226515692,1173.03,91.31232265156927,52,45.33115067185049,6.668849328149513,10.8063446380476,10.380796460176992,0.42554817787060806,7.8,3.0063446380476,22,20,2,,,,,
BP,ARIZONA,TOTAL,35.759713665201815,12397.130252807568,13817.35,-1420.219747192432,,,,,,,,,190,176,14,,,,,
BP,COLORADO,CP,4.292174632371716,562.6513411446297,501.38000000000005,61.271341144629616,35,31.92607109804562,3.0739289019543783,5.951999279538906,5.697500000000001,0.25449927953890494,4,1.9519992795389056,12,11,1,,,,,
BP,COLORADO,NB BRAKES,17.168698529486864,2250.6053645785187,5712.98,-3462.374635421481,21,35.559759410166855,-14.559759410166855,17.206638248847923,23.036209677419354,-5.82957142857143,19.32,-2.113361751152077,22,54,-32,,,,,
BP,COLORADO,NB BRAKES T2,39.70788124962696,2059.4885250891793,1527.04,532.4485250891794,51,35.00027477056658,15.999725229433423,30.286595957193814,26.328275862068963,3.9583200951248507,18.63,11.656595957193815,18,13,5,,,,,
BP,COLORADO,NB OIL CHANGE,17.82266845402741,2336.332784039938,4983.85,-2647.5172159600625,23,37.49975594994045,-14.49975594994045,14.418441209977216,18.52732342007435,-4.108882210097134,15,-0.5815587900227843,37,78,-41,,,,,
BP,COLORADO,NB OTHER SERVICES,33.490618542896065,3573.6711111111113,579.04,2994.6311111111113,55,15.259981975627914,39.740018024372084,10.995911111111111,5.848888888888888,5.147022222222223,5,5.995911111111111,56,9,47,,,,,
BP,COLORADO,NB WHEEL ALIGNMENT,12.239202906987778,1604.4090746495842,2153.59,-549.1809253504159,34,47.369484674974736,-13.369484674974736,9.726961100161715,11.100979381443299,-1.3740182812815842,9,0.7269611001617147,28,38,-10,,,,,
BP,COLORADO,TOTAL,38.52660061722504,12387.158200612961,15457.880000000001,-3070.72179938704,,,,,,,,,173,203,-30,,,,,
BP,MIDWEST,CP,2.4690103506291914,245.42889655172416,202.81,42.61889655172416,42,34.83552631578947,7.164473684210527,6.458655172413794,5.965,0.49365517241379386,4,2.4586551724137937,4,3,1,,,,,
BP,MIDWEST,NB BRAKES,88.83592619204029,3558.8825790654973,2577.14,981.7425790654975,55,35.2797025519689,19.720297448031097,17.794412895327486,15.249349112426035,2.545063782901451,14.85,2.9444128953274866,57,41,16,,,,,
BP,MIDWEST,NB OIL CHANGE,9.510147109417687,1246.6634011673132,7009.64,-5762.976598832687,16,50.399884021552666,-34.399884021552666,9.365932507280306,16.61052132701422,-7.244588819733913,15,-5.634067492719694,28,145,-117,,,,,
BP,MIDWEST,NB OTHER SERVICES,32.374981406109235,2690.8993563958174,1581.46,1109.4393563958174,55,29.57989537830987,25.42010462169013,8.822620840642024,6.997610619469027,1.825010221172997,6.5,2.322620840642024,48,28,20,,,,,
BP,MIDWEST,NB WHEEL ALIGNMENT,3.512569848651119,460.45473576541633,1194.51,-734.0552642345837,24,53.06656205047731,-29.06656205047731,8.507722048066874,12.065757575757576,-3.558035527690702,9,-0.49227795193312573,9,22,-13,,,,,
BP,MIDWEST,TOTAL,50.16071076945756,8202.328968945769,12565.56,-4363.231031054231,,,,,,,,,146,239,-93,,,,,
