"February 22, 2026 - February 28, 2026",,,,,Budget:,48000,Recommendation,,,,,,,,,,,,,,,,,,Opportunity Score - Revenue,,,,Recommendation @ Max Ad ROI,,,,,,,,,,,,,,,,,,,,,
Brand,Region,Category,Opportunity Score - Revenue,,Expected Spend,LW Spend,Difference,Expected IS %,LW IS,Difference,Expected CPA,LW CPA,Difference,LW tCPA,tCPA Adjustment,Expected Car Count,LW Car Count,Difference,Expected Cost/Car,LW Cost/Car,Difference,Expected Revenue,LW Revenue,Difference,Expected Ad ROI,LW Ad ROI,Difference,,Expected Spend,LW Spend,Difference,Expected IS %,LW IS,Difference,Expected CPA,LW CPA,Difference,LW tCPA,Expected Car Count,LW Car Count,Difference,Expected Cost/Car,LW Cost/Car,Difference,Expected Revenue,LW Revenue,Difference,Expected Ad ROI,LW Ad ROI,Difference
BP,ARIZONA,CP,22.05422541866899,,620.5240377275718,125.92000000000002,494.6040377275718,58,16.89027947181418,41.10972052818582,4.700939679754332,2.679148936170213,2.021790743584119,2.65,2.050939679754332,25,5,20,24.820961509102872,25.184000000000005,-0.36303849089713225,9283.680555555557,1783.8657142857144,7499.814841269842,6793.512150421133,1399.2531587048763,5394.258991716257,,620.5240377275718,125.92000000000002,494.6040377275718,58,16.89027947181418,41.10972052818582,4.700939679754332,2.679148936170213,2.021790743584119,2.65,25,5,20,24.820961509102872,25.184000000000005,-0.36303849089713225,9283.680555555557,1783.8657142857144,7499.814841269842,6793.512150421133,1399.2531587048763,5394.258991716257
BP,ARIZONA,NB BRAKES,32.51907381666402,,4262.850900271257,6429.3,-2166.449099728743,28,37.18969917253113,-9.189699172531128,17.336738629533155,19.966770186335403,-2.6300315568022476,16,1.336738629533155,40,58,-18,106.57127250678143,110.85000000000001,-4.278727493218582,20137.735849056604,22854.152624403545,-2716.416775346941,11695.993805973396,16956.74567143831,-5260.751865464916,,8394.63133640553,6429.3,1965.3313364055293,57,37.18969917253113,19.810300827468872,22.811498196754155,19.966770186335403,2.844728010418752,16,76,58,18,110.45567547902013,110.85000000000001,-0.3943245209798789,38261.698113207545,22854.152624403545,15407.545488804,22161.52715416051,16956.74567143831,5204.781482722199
BP,ARIZONA,NB BRAKES T2,16.85607881336331,,1540.0194274731487,1161.33,378.6894274731487,49,34.71970072069098,14.28029927930902,21.690414471452797,19.038196721311476,2.6522177501413218,15.37,6.320414471452798,15,11,4,102.66796183154324,105.57545454545453,-2.907492713911296,7551.6509433962265,4386.156366734833,3165.4945766613937,4490.801327243833,3268.9457327880027,1221.8555944558302,,1540.0194274731487,1161.33,378.6894274731487,49,34.71970072069098,14.28029927930902,21.690414471452797,19.038196721311476,2.6522177501413218,15.37,15,11,4,102.66796183154324,105.57545454545453,-2.907492713911296,7551.6509433962265,4386.156366734833,3165.4945766613937,4490.801327243833,3268.9457327880027,1221.8555944558302
BP,ARIZONA,NB OIL CHANGE,13.154222592343446,,1724.3569093104077,4558.3,-2833.9430906895923,21,36.28994250164954,-15.289942501649541,10.193925210802885,13.647604790419162,-3.453679579616278,11,-0.8060747891971154,31,75,-44,55.62441642936799,60.77733333333334,-5.152916903965348,3399.8743718592964,3697.136013590035,-297.2616417307386,819.1021398738665,2034.570250913097,-1215.4681110392305,,6169.831455456434,4558.3,1611.5314554564338,59,36.28994250164954,22.71005749835046,15.820080655016497,13.647604790419162,2.1724758645973345,11,102,75,27,60.48854368094543,60.77733333333334,-0.288789652387905,11186.683417085427,3697.136013590035,7489.547403495392,2763.961040236686,2034.570250913097,729.3907893235892
BP,ARIZONA,NB OTHER SERVICES,53.300864593091156,,2985.0366553736126,369.47,2615.566655373613,57,13.429965981363704,43.57003401863629,9.851606123345256,4.7983116883116885,5.053294435033568,3.75,6.101606123345256,57,7,50,52.369064129361625,52.78142857142858,-0.4123644420669521,25018.869565217392,2878.471504178273,22140.39806103912,16995.27214920845,2224.367186110162,14770.904963098288,,2985.0366553736126,369.47,2615.566655373613,57,13.429965981363704,43.57003401863629,9.851606123345256,4.7983116883116885,5.053294435033568,3.75,57,7,50,52.369064129361625,52.78142857142858,-0.4123644420669521,25018.869565217392,2878.471504178273,22140.39806103912,16995.27214920845,2224.367186110162,14770.904963098288
BP,ARIZONA,NB WHEEL ALIGNMENT,10.027808233899293,,1264.3423226515692,1173.03,91.31232265156927,52,45.33115067185049,6.668849328149513,10.8063446380476,10.380796460176992,0.42554817787060806,7.8,3.0063446380476,22,20,2,57.47010557507133,58.6515,-1.1813944249286692,4446.961538461538,2913.2417889908256,1533.7197494707125,2287.043744130894,2090.3057790471885,196.7379650837056,,1264.3423226515692,1173.03,91.31232265156927,52,45.33115067185049,6.668849328149513,10.8063446380476,10.380796460176992,0.42554817787060806,7.8,22,20,2,57.47010557507133,58.6515,-1.1813944249286692,4446.961538461538,2913.2417889908256,1533.7197494707125,2287.043744130894,2090.3057790471885,196.7379650837056
BP,ARIZONA,TOTAL,35.759713665201815,,12397.130252807568,13817.35,-1420.219747192432,,,,,,,,,190,176,14,65.2480539621451,78.50767045454546,-13.259616492400369,69838.7728235466,38513.024012183225,31325.74881136338,43081.725316851574,27974.187779001637,15107.537537849938,,20974.385235087866,13817.35,7157.035235087866,,,,,,,,297,176,121,70.62082570736655,78.50767045454546,-7.8868447471789125,95749.54413292368,38513.024012183225,57236.52012074045,55492.11756540152,27974.187779001637,27517.92978639988
BP,COLORADO,CP,4.292174632371716,,562.6513411446297,501.38000000000005,61.271341144629616,35,31.92607109804562,3.0739289019543783,5.951999279538906,5.697500000000001,0.25449927953890494,4,1.9519992795389056,12,11,1,46.88761176205247,45.580000000000005,1.307611762052467,4339.5,3383.1176525821597,956.3823474178403,2900.1263216059892,2600.817021609969,299.3092999960204,,760.0005259365995,501.38000000000005,258.62052593659945,51,31.92607109804562,19.07392890195438,6.84685158501441,5.697500000000001,1.1493515850144096,4,17,11,6,44.7059132903882,45.580000000000005,-0.8740867096118023,6147.625,3383.1176525821597,2764.5073474178403,4149.551666043162,2600.817021609969,1548.7346444331934
BP,COLORADO,NB BRAKES,17.168698529486864,,2250.6053645785187,5712.98,-3462.374635421481,21,35.559759410166855,-14.559759410166855,17.206638248847923,23.036209677419354,-5.82957142857143,19.32,-2.113361751152077,22,54,-32,102.30024384447812,105.79592592592591,-3.4956820814477965,12908.214067278286,26125.108992974237,-13216.894925695951,7934.107279223917,19713.22273746421,-11779.115458240292,,7672.468202764977,5712.98,1959.4882027649774,57,35.559759410166855,21.440240589833145,26.640514592933947,23.036209677419354,3.604304915514593,19.32,73,54,19,105.10230414746543,105.79592592592591,-0.6936217784604821,42831.801223241586,26125.108992974237,16706.69223026735,26533.41839279139,19713.22273746421,6820.195655327181
BP,COLORADO,NB BRAKES T2,39.70788124962696,,2059.4885250891793,1527.04,532.4485250891794,51,35.00027477056658,15.999725229433423,30.286595957193814,26.328275862068963,3.9583200951248507,18.63,11.656595957193815,18,13,5,114.41602917162108,117.46461538461539,-3.0485862129943087,10561.266055045871,5918.964683840748,4642.301371205123,6374.839676554856,4419.410640213403,1955.429036341453,,2059.4885250891793,1527.04,532.4485250891794,51,35.00027477056658,15.999725229433423,30.286595957193814,26.328275862068963,3.9583200951248507,18.63,18,13,5,114.41602917162108,117.46461538461539,-3.0485862129943087,10561.266055045871,5918.964683840748,4642.301371205123,6374.839676554856,4419.410640213403,1955.429036341453
