"February 22, 2026 - February 28, 2026",,,,,,,,,LW Budget,,,,,,,,,,,,,,,,,,,,,,
Brand,Region,Category,Opportunity Score Only  Split,Max Ad ROI,IS at Max ROI,Spend @ Max Ad OI,Min Spend,Opportunity Score,48000,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 2,9080.192892316103,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 3,1047.4358056709507,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 4,0,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 5,0,Total Spend,Diff from Spend @ Max Ad OI,,Total,Diff from Spend @ Max Ad OI,Final
BP,ARIZONA,CP,2124.520893127332,6793.512150421133,58,620.5240377275718,0,22.05422541866899,620.5240377275718,620.5240377275718,0,0,0,620.5240377275718,0,0,0,620.5240377275718,0,0,0,620.5240377275718,0,0,0,620.5240377275718,0,,620.5240377275718,0,620.5240377275718
BP,ARIZONA,NB BRAKES,3132.6174661373443,22161.52715416051,57,8394.63133640553,0,32.51907381666402,3132.6174661373443,3132.6174661373443,5262.013870268185,32.51907381666402,978.6786496891776,4111.296115826522,4283.335220579008,32.51907381666402,151.55478444473545,4262.850900271257,4131.780436134272,32.51907381666402,0,4262.850900271257,4131.780436134272,32.51907381666402,0,4262.850900271257,4131.780436134272,,4262.850900271257,4131.780436134272,4262.850900271257
BP,ARIZONA,NB BRAKES T2,1267.1685447916236,4490.801327243833,49,1540.0194274731487,0,13.154222592343446,1267.1685447916236,1267.1685447916236,272.85088268152504,13.154222592343446,272.85088268152504,1540.0194274731487,0,0,0,1540.0194274731487,0,0,0,1540.0194274731487,0,0,0,1540.0194274731487,0,,1540.0194274731487,0,1540.0194274731487
BP,ARIZONA,NB OIL CHANGE,1267.1685447916236,2763.961040236686,59,6169.831455456434,0,13.154222592343446,1267.1685447916236,1267.1685447916236,4902.662910664811,13.154222592343446,395.883255376989,1663.0518001686125,4506.779655287822,13.154222592343446,61.305109141795135,1724.3569093104077,4445.474546146026,13.154222592343446,0,1724.3569093104077,4445.474546146026,13.154222592343446,0,1724.3569093104077,4445.474546146026,,1724.3569093104077,4445.474546146026,1724.3569093104077
BP,ARIZONA,NB OTHER SERVICES,5134.562574748868,16995.27214920845,57,2985.0366553736126,0,53.300864593091156,2985.0366553736126,2985.0366553736126,0,0,0,2985.0366553736126,0,0,0,2985.0366553736126,0,0,0,2985.0366553736126,0,0,0,2985.0366553736126,0,,2985.0366553736126,0,2985.0366553736126
BP,ARIZONA,NB WHEEL ALIGNMENT,965.9957536826105,2287.043744130894,52,1264.3423226515692,0,10.027808233899293,965.9957536826105,965.9957536826105,298.34656896895876,10.027808233899293,298.34656896895876,1264.3423226515692,0,0,0,1264.3423226515692,0,0,0,1264.3423226515692,0,0,0,1264.3423226515692,0,,1264.3423226515692,0,1264.3423226515692
BP,ARIZONA,TOTAL,13892.033777279401,55492.11756540152,,20974.385235087866,0,35.759713665201815,10238.511002504387,10238.511002504387,10735.87423258348,,1945.7593567166505,12184.270359221038,8790.114875866828,,212.85989358653057,12397.130252807568,8577.254982280298,,0,12397.130252807568,8577.254982280298,,0,12397.130252807568,8577.254982280298,,12397.130252807568,8577.254982280298,12397.130252807568
BP,COLORADO,CP,413.4724530250662,4149.551666043162,51,760.0005259365995,0,4.292174632371716,413.4724530250662,413.4724530250662,346.5280729115333,4.292174632371716,129.1752556398797,542.6477086649459,217.35281727165363,4.292174632371716,20.00363247968385,562.6513411446297,197.34918479196983,4.292174632371716,0,562.6513411446297,197.34918479196983,4.292174632371716,0,562.6513411446297,197.34918479196983,,562.6513411446297,197.34918479196983,562.6513411446297
BP,COLORADO,NB BRAKES,1653.8898121002649,26533.41839279139,57,7672.468202764977,0,17.168698529486864,1653.8898121002649,1653.8898121002649,6018.578390664712,17.168698529486864,516.7010225595188,2170.5908346597835,5501.877368105193,17.168698529486864,80.0145299187354,2250.6053645785187,5421.862838186458,17.168698529486864,0,2250.6053645785187,5421.862838186458,17.168698529486864,0,2250.6053645785187,5421.862838186458,,2250.6053645785187,5421.862838186458,2250.6053645785187
BP,COLORADO,NB BRAKES T2,1716.8878427174354,6374.839676554856,51,2059.4885250891793,0,17.82266845402741,1716.8878427174354,1716.8878427174354,342.6006823717439,17.82266845402741,342.6006823717439,2059.4885250891793,0,0,0,2059.4885250891793,0,0,0,2059.4885250891793,0,0,0,2059.4885250891793,0,,2059.4885250891793,0,2059.4885250891793
