Date,Bid Strategy Status,Bid strategy,Bid strategy type,System Status,Account,Campaigns,Currency code,Target CPA,Avg. Target CPA,Actual CPA,Cost / conv.,Cost (Converted currency) / conv.,Cost,Cost (Converted currency),Conversions,Conv. rate,Converted currency code
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolina - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Texas - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,5,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_GAT - Texas - Maximize Conversions (tCPA) - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Virginias - Maximize Conversion - Non-Brand - Brakes,Maximize Conversions,Active,NTB,1,USD,7,7,7.14,7.14,7.14,1037.51,1037.51,145.38,0.3093,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Alabama - Maximize Conversion - Non Brand - Brakes,Maximize Conversions,Active,Express Oil Change & Tire Engineers,1,USD,5.75,5.75,8.54,8.54,8.54,690.62,690.62,80.83,0.255,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF 2 - National - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Active,Mavis Discount Tire,3,USD,3.25,3.25,3.54,3.54,3.54,362.74,362.74,102.41,0.4,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida - Maximize Conversions Non-Brand - Oil Change,Target CPA,Limited (budget constrained),Mavis Discount Tire,1,USD,4.9,5.29,5.75,5.75,5.75,1897.18,1897.18,330.1,0.3338,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Greater Atlanta - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Carolinas - Maximize Conversion - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),NTB,1,USD,5.6,6.5,7.64,7.64,7.64,340.12,340.12,44.5,0.2392,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Georgia - Greater Atlanta - Maximize Conversions (tCPA) - Non-Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,2.75,3,4.01,4.01,4.01,757.8,757.8,189.09,0.3931,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Southern - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,19,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Carolinas - Maximize Conversion - Brand,Maximize Conversions,Active,NTB,4,USD,4,4.4,5.23,5.23,5.23,2076.56,2076.56,397.23,0.3563,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Hudson Valley - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Active,Mavis Discount Tire,2,USD,11.5,12,15.6,15.6,15.6,901.86,901.86,57.79,0.1806,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Long Island 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,6.38,6.56,7.69,7.69,7.69,725.48,725.48,94.32,0.331,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Michigan - Ohio - Maximize Conversions (tCPA) - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,3,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Hudson Valley - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,5,USD,5.25,5.98,6.75,6.75,6.75,8193.82,8193.82,1213.89,0.3241,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT - Florida - Maximize Conversions (tCPA) - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,6.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Southeast - Maximize Conversion - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),NTB,3,USD,7,7,7.85,7.85,7.85,852.38,852.38,108.58,0.3231,USD
"February 22, 2026 - February 28, 2026",Enabled,Mavis - UPS - Maximize Conversions - Massachusets,Target CPA,Inactive,Mavis Discount Tire,0,USD,15,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Florida - Maximize Conversions (tCPA) - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,14,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - UPS - Maximize Conversions - Florida,Target CPA,Inactive,Mavis Discount Tire,6,USD,8,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF 2 - National - Maximize Conversions - Competitors,Maximize Conversions,Active,Mavis Discount Tire,4,USD,4,4,4.17,4.17,4.17,342.58,342.58,82.08,0.3965,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Northern - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,22.48,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Maximize Traffic Off Promo,Maximize clicks,Inactive,Tire Kingdom,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Central - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,30,30,36.51,36.51,36.51,754.51,754.51,20.67,0.0557,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Michigan - Ohio - Maximize Conversions (tCPA) - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Southeast - Maximize Conversion - Competitors,Maximize Conversions,Active,NTB,4,USD,5,5,5.93,5.93,5.93,408.48,408.48,68.84,0.2787,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Western - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,19,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN 2 - Rhode Island Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,25,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,14,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TK - Florida - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Tire Kingdom,10,USD,5,5.81,5.57,5.57,5.57,41651.14,41651.14,7474.86,0.3739,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Central - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Carolinas - Maximize Conversions (tCPA) - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,6.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Georgia - Greater Atlanta -  Maximize Conversions (tCPA) - Non-Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Massachusetts - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Southeast - Maximize Conversion - Brand,Maximize Conversions,Active,NTB,4,USD,3.7,4.58,5.16,5.16,5.16,3346.25,3346.25,648.55,0.3613,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Central - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Southeastern - Maximize Conversion - Brand,Maximize Conversions,Active,Express Oil Change & Tire Engineers,14,USD,3.1,2.89,3.67,3.67,3.67,12068.86,12068.86,3288.36,0.4095,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Alabama - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Louisiana - Northern - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,25.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Carolinas - Maximize Conversion - Competitors,Maximize Conversions,Active,NTB,4,USD,4.5,5.2,6.09,6.09,6.09,306.64,306.64,50.32,0.3165,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Central - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,23,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Texas - Maximize Conversions (tCPA) - Non-Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN - Rhode Island - Maximize Conversions (tCPA) - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,5,USD,8,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Northern - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,6.14,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - West Central - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,2,USD,7.65,8.39,10.82,10.82,10.82,1083.43,1083.43,100.17,0.2671,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolinas 2 - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,5,5.47,6.2,6.2,6.2,22429.69,22429.69,3615.95,0.3633,USD
"February 22, 2026 - February 28, 2026",Enabled,Holiday Campaigns - All Regions,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD,20,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TK - Florida - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Tire Kingdom,4,USD,4.8,5.75,5.82,5.82,5.82,26183.7,26183.7,4501.08,0.3514,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Ex Westchester - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Greater Atlanta - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,24,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolina - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,JWT - Pennsylvania - Maximize Conversions (tCPA) - Trademark - Phrase,Maximize Conversions,Active,Mavis Discount Tire,1,USD,6.25,6.25,6.68,6.68,6.68,35.62,35.62,5.33,0.3556,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Long Island - Maximize Conversions - Non-Brand - Inspection,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,4.04,4.09,3.87,3.87,3.87,758.02,758.02,195.77,0.481,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Savannah - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,18,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Mississippi - Maximize Conversions (tCPA) - Non-Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Central - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,6.14,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - West Central - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,7,USD,4.5,5,6.05,6.05,6.05,17862.41,17862.41,2952.08,0.4293,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,18,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Massachusetts 2 - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,3.8,4.02,4.75,4.75,4.75,918.75,918.75,193.25,0.3579,USD
"February 22, 2026 - February 28, 2026",Enabled,Mavis - UPS - Maximize Conversions - Pennsylvania,Target CPA,Inactive,Mavis Discount Tire,0,USD,15,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Louisiana - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Southeast - Maximize Conversions Non-Brand - Oil Change,Maximize Conversions,Active,NTB,1,USD,8,8,9.87,9.87,9.87,207.22,207.22,21,0.25,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Central - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN 2 - Rhode Island Maximize Conversions - Brand,Maximize Conversions,Active,Mavis Discount Tire,4,USD,4.5,4.5,4.92,4.92,4.92,1035.92,1035.92,210.73,0.5789,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Arizona - Maximize Conversion - Competitors,Maximize Conversions,Active,Brakes Plus,5,USD,2.65,2.65,2.87,2.87,2.87,125.92,125.92,43.95,0.3756,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Michigan - Ohio - Maximize Conversions (tCPA) - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,6.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Western - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,15,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Southern - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Tampa FL | NB - COMP - Tires - E - Enhanced CPC,Enhanced CPC,Inactive,Tire Kingdom,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Mississippi - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,25.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Georgia - Southern - Maximize Conversions (tCPA) - Non-Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Long Island 2 - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,2,USD,8.5,8.59,10.99,10.99,10.99,226.69,226.69,20.62,0.1841,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Dallas PP 1224 - Maximize Conversion - Non-Brand - Brakes,Target CPA,Inactive,NTB,1,USD,17,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolinas 2 - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,2,USD,6.5,6.93,8.54,8.54,8.54,2845.14,2845.14,333.25,0.3349,USD
"February 22, 2026 - February 28, 2026",Enabled,Southern - BR,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,0,USD,14.44,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Southern - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,6.14,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Maximize Conversions Non-Brand - Oil Change,Target CPA,Limited (budget constrained),Mavis Discount Tire,4,USD,7.15,7.15,8.58,8.58,8.58,4715.58,4715.58,549.45,0.2972,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Savannah - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Louisiana - Northern - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,20.48,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Colorado - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Active,Mavis Tire Express Services MCC,1,USD,5.75,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Dallas PP 1224 - Maximize Conversion - Non-Brand - Tires,Target CPA,Inactive,NTB,1,USD,16.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs 2 - Maximize Conversions - Competitors,Maximize Conversions,Active,Mavis Discount Tire,4,USD,2,2.75,3.38,3.38,3.38,124,124,36.64,0.3301,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Arizona - Maximize Conversion - Non Brand - Brakes,Maximize Conversions,Active,Brakes Plus,5,USD,16,16.89,20.41,20.41,20.41,6429.3,6429.3,315.02,0.2367,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Texas - Maximize Conversion - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),NTB,1,USD,4.2,5.91,6.95,6.95,6.95,794.61,794.61,114.34,0.1999,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Greater Philadelphia - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Northeast - Maximize Conversion - Competitors,Maximize Conversions,Active,NTB,4,USD,4,4.48,4.43,4.43,4.43,1209.87,1209.87,273.17,0.4005,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida 2 - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,6,USD,2.93,3.05,3.18,3.18,3.18,782.44,782.44,245.73,0.397,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Greater Atlanta - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolina - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,20,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Georgia - Southern - Maximize Conversions (tCPA) - Non-Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN - Rhode Island - Maximize Conversions (tCPA) - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,9,USD,17,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Pennsylvania 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,10,USD,2.3,3.29,3.72,3.72,3.72,20754.09,20754.09,5574.15,0.4409,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Central Eastern - Maximize Conversion - Oil Change,Maximize Conversions,Active,Express Oil Change & Tire Engineers,6,USD,5.2,5.21,5.95,5.95,5.95,15368.25,15368.25,2581.97,0.3524,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Central Eastern - Maximize Conversion - Brand,Maximize Conversions,Active,Express Oil Change & Tire Engineers,7,USD,3.9,3.92,4.84,4.84,4.84,11721.64,11721.64,2424.16,0.3778,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,2.5,2.75,3.29,3.29,3.29,1479.72,1479.72,450.24,0.3806,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Central - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - UPS - Maximize Conversions - Illinois,Target CPA,Inactive,Mavis Discount Tire,6,USD,7.5,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - South Carolina - Maximize Conversions (tCPA) - Non-Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Carolinas - Maximize Conversion - Non-Brand - Services,Maximize Conversions,Active,NTB,3,USD,5.8,6.5,7.97,7.97,7.97,515.56,515.56,64.68,0.2764,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Western - Maximize Conversions - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - PP 0824 - Maximize Conversions - Competitors,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,7,USD,8,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Ft Myers FL | Brand - Tire Kingdom Trademark - E - Enhanced CPC,Enhanced CPC,Inactive,Tire Kingdom,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Colorado - T2 -  Maximize Conversion - Non Brand - Brakes,Maximize Conversions,Active,Brakes Plus,1,USD,18.63,18.63,24.36,24.36,24.36,1527.04,1527.04,62.68,0.1746,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Long Island 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,5.74,5.91,6,6,6,890.76,890.76,148.41,0.4302,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - CENTRAL EASTERN - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Active,Mavis Tire Express Services MCC,10,USD,6.3,6.3,13.44,13.44,13.44,87.36,87.36,6.5,0.2097,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Massachusetts 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,2.5,3.04,3.24,3.24,3.24,2503.45,2503.45,772.28,0.4234,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Arizona - Maximize Conversion - Non Brand - Services,Maximize Conversions,Limited (budget constrained),Brakes Plus,4,USD,3.75,3.74,4.8,4.8,4.8,369.47,369.47,77,0.2492,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs 2 - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,2,USD,3.5,3.75,3.91,3.91,3.91,1753.53,1753.53,448.9,0.3284,USD
"February 22, 2026 - February 28, 2026",Enabled,TK - Florida - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Active,Tire Kingdom,1,USD,8.5,9.17,10.09,10.09,10.09,3938.71,3938.71,390.3,0.2583,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida 2 - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,3,USD,4.5,4.9,5.53,5.53,5.53,1367.3,1367.3,247.31,0.4008,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN - Rhode Island - Maximize Conversions (tCPA) - CP,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD,10,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Old Campaigns,Maximize Conversions,Inactive,NTB,300,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Midwest - Maximize Conversion - Brand,Maximize Conversions,Active,Brakes Plus,11,USD,2.5,2.5,3.25,3.25,3.25,3161.9,3161.9,972.36,0.403,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Florida - Maximize Conversions (tCPA) - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,3,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN - Rhode Island - Maximize Conversions (tCPA) - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,8,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Illinois - Maximize Conversions (tCPA) - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,6.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Texas - Maximize Conversions Non-Brand - Oil Change,Maximize Conversions,Active,NTB,1,USD,11,11,13.12,13.12,13.12,706.5,706.5,53.83,0.2119,USD
