AE - 02 Ad Group Performance
"January 1, 2025 - July 13, 2026"
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Altar Candles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,8,0,4,84,4.76%,USD,0.80,3.21,20.41%,75.51%,0.00,0,0,0.00%
Votive Candle Stands,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,15,0,2,23,8.70%,USD,3.57,7.13,50.00%,87.50%,0.00,0,0,0.00%
Sanctuary Candles & Lamps,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,11,0,2,17,11.76%,USD,1.78,3.56,35.29%,70.59%,0.00,0,0,0.00%
Altar Candles,Search | Non-Brand | Tier C - Southern Expansion,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,8,0,2,36,5.56%,USD,1.06,2.12,26.92%,88.46%,0.00,0,0,0.00%
Holy Water Bottles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,8,0,1,22,4.55%,USD,1.27,1.27,31.25%,93.75%,0.00,0,0,0.00%
Holy Water Bottles,Search | Non-Brand | Tier C - Southern Expansion,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,8,0,1,9,11.11%,USD,0.72,0.72,14.29%,85.71%,0.00,0,0,0.00%
online,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online_location,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
